Product Category Name,product category name (Sheet11),Order Id (CNTD)
toys,watches_gifts,73
health_beauty,watches_gifts,1
furniture_decor,watches_gifts,1
telephony,toys,30
tablets_printing_image,toys,3
stationery,toys,30
sports_leisure,toys,62
small_appliances,toys,1
signaling_and_security,toys,3
pet_shop,toys,23
perfumery,toys,32
party_supplies,toys,1
office_furniture,toys,18
musical_instruments,toys,8
market_place,toys,7
luggage_accessories,toys,11
la_cuisine,toys,1
industry_commerce_and_business,toys,2
housewares,toys,63
home_construction,toys,7
home_confort,toys,3
health_beauty,toys,81
garden_tools,toys,45
furniture_living_room,toys,5
furniture_decor,toys,153
food_drink,toys,2
food,toys,1
fashion_underwear_beach,toys,1
fashion_shoes,toys,8
fashion_male_clothing,toys,3
fashion_bags_accessories,toys,41
fashio_female_clothing,toys,1
electronics,toys,8
dvds_blu_ray,toys,1
drinks,toys,4
costruction_tools_garden,toys,11
cool_stuff,toys,25
construction_tools_safety,toys,1
construction_tools_lights,toys,5
construction_tools_construction,toys,12
consoles_games,toys,6
computers_accessories,toys,103
cine_photo,toys,1
books_technical,toys,4
books_imported,toys,2
books_general_interest,toys,3
bed_bath_table,toys,291
baby,toys,20
auto,toys,39
audio,toys,2
arts_and_craftmanship,toys,1
cine_photo,telephony,1
small_appliances,sports_leisure,1
office_furniture,sports_leisure,1
housewares,sports_leisure,1
health_beauty,sports_leisure,2
garden_tools,sports_leisure,2
cool_stuff,sports_leisure,1
auto,sports_leisure,1
consoles_games,pet_shop,1
music,perfumery,1
bed_bath_table,office_furniture,1
computers_accessories,luggage_accessories,1
garden_tools,housewares,1
furniture_decor,housewares,1
computers_accessories,housewares,2
bed_bath_table,housewares,2
garden_tools,home_construction,1
furniture_decor,home_construction,1
computers_accessories,home_construction,1
construction_tools_construction,health_beauty,1
bed_bath_table,health_beauty,1
furniture_decor,garden_tools,3
electronics,garden_tools,1
computers_accessories,garden_tools,2
baby,garden_tools,1
electronics,furniture_decor,1
bed_bath_table,furniture_decor,6
baby,furniture_decor,1
costruction_tools_garden,flowers,1
baby,fashion_shoes,1
baby,fashion_bags_accessories,1
computers_accessories,cool_stuff,1
books_general_interest,cool_stuff,1
